,25-Aug-2026
The Nifty witnessed an intraday movement of about 219.1 points.The closing index was 0.48 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 106655.03
, Traded Quantity (in Lakhs), 60579.45
, Number of Trades, 34295670
, Total Market Capitalisation (Rs. Crores), 49301661.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,1039UCL26,NE,      1027.00,                     1027.00,1
,1050ISFL28,N5,      1056.00,                    25395.60,24
,1050SCL31,ZP,      1024.70,                    10247.00,10
,1060ECL29,NS,      1079.85,                   219220.10,211
,1075SCL33,YK,      1050.30,                     3150.90,3
,1075WCA28,N0,      9481.52,                   239887.11,25
,10CAGL27,N5,      1015.00,                   101500.00,100
,10IIFL28,N4,      1003.00,                   524842.40,525
,10ISFL26,N3,      1059.00,                    58245.00,55
,1125AFIL29,N0,      9869.00,                   108559.00,11
,1150AFIL29,N0,      9887.68,                    98701.28,10
,115VCCL31A,N0,      9998.99,                   137976.36,14
,1225IFL27,N0,      6500.00,                    13000.00,2
,1225IFL28,N0,      7400.00,                     7400.00,1
,12AFIL27A,N0,      9849.00,                    19698.00,2
,12AFIL28,N0,      9948.00,                   409168.00,41
,12VCCL27A,N0,    100000.00,                   100000.00,1
,182D100926,TB,        99.51,                     9951.00,100
,20MICRONS,EQ,       210.65,                 31599755.20,149537
,21STCENMGM,EQ,        43.17,                   183627.05,4222
,360ONE,EQ,      1210.00,                647517215.80,539607
,364D040227,TB,        97.53,                   682710.00,7000
,364D170627,TB,        95.00,                   532000.00,5600
,3BBLACKBIO,EQ,      1262.40,                 13800688.20,11001
,3IINFOLTD,BE,        23.98,                 10232718.91,421670
,3MINDIA,EQ,     33695.00,                 43309365.00,1288
,3PLAND,EQ,        31.99,                    72325.56,2281
,574GS2026,GS,       100.91,                      403.64,4
,591GS2028,GS,        99.51,                    29853.00,300
,5PAISA,EQ,       380.65,                 11534458.80,30476
,601GS2030,GS,        97.71,                   102727.56,1050
,603GS2029,GS,        99.35,                    20865.00,210
,610GS2031,GS,        97.30,                    58308.00,600
,620GS2029,GS,        99.60,                    84665.60,851
,636GS2031,GS,       100.00,                    25000.00,250
,63MOONS,EQ,       782.75,                181434131.40,227133
,645GS2029,GS,       101.46,                      101.46,1
,648GS2035,GS,        99.05,                   127966.25,1291
,667GS2050,GS,        92.00,                    36932.40,401
,668GS2033,GS,       100.00,                    19905.00,200
,668GS2040,GS,        98.10,                  4434120.00,45200
,676GS2061,GS,        91.19,                  5207909.41,57198
,68GS2060,GS,        92.81,                    86592.90,933
,690GS2065,GS,        94.52,                   570618.13,6037
