Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-JUN-2026,510245,3.86,3.96,-0.0256,0.0281,0.0281,0.5368
01-JUN-2026,511000,18.07,17.64,0.0241,0.0355,0.0354,0.6763
01-JUN-2026,511012,0.66,0.66,0.0000,0.0241,0.0240,0.4585
01-JUN-2026,511016,4.90,5.15,-0.0498,0.0342,0.0343,0.6553
01-JUN-2026,511018,48.20,48.79,-0.0122,0.0401,0.0400,0.7642
01-JUN-2026,511038,3.75,3.75,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,511048,5.18,5.18,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,511060,17.00,17.00,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,511066,27.27,27.69,-0.0153,0.0274,0.0274,0.5235
01-JUN-2026,511074,990.00,990.00,0.0000,0.0025,0.0025,0.0478
01-JUN-2026,511092,5.73,5.84,-0.0190,0.0153,0.0154,0.2942
01-JUN-2026,511096,12.00,12.00,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,511110,17.94,16.78,0.0668,0.0509,0.0510,0.9744
01-JUN-2026,511116,0.36,0.35,0.0282,0.0311,0.0311,0.5942
01-JUN-2026,511122,75.54,70.33,0.0715,0.0458,0.0459,0.8769
01-JUN-2026,511131,17.00,18.50,-0.0846,0.0303,0.0308,0.5884
01-JUN-2026,511144,263.90,251.35,0.0487,0.0950,0.0948,1.8112
01-JUN-2026,511147,61.42,61.28,0.0023,0.0289,0.0288,0.5502
01-JUN-2026,511153,16.71,17.43,-0.0422,0.0351,0.0351,0.6706
01-JUN-2026,511169,6.94,6.90,0.0058,0.0302,0.0302,0.5770
01-JUN-2026,511176,89.30,94.00,-0.0513,0.0316,0.0318,0.6075
01-JUN-2026,511185,17.47,17.47,0.0000,0.0106,0.0106,0.2025
01-JUN-2026,511187,1.57,1.50,0.0456,0.0402,0.0402,0.7680
01-JUN-2026,511200,117.00,117.00,0.0000,0.0141,0.0140,0.2675
01-JUN-2026,511246,3.90,3.89,0.0026,0.0346,0.0345,0.6591
01-JUN-2026,511254,61.75,61.75,0.0000,0.0000,0.0000,0.0000
01-JUN-2026,511260,44.99,44.64,0.0078,0.0231,0.0230,0.4394
