Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
BRAHMINFRA,EQ,159.57,0.28,463.05,0.11,0.18
764NABAR31,N2,1118.77,0.34,1967.62,0.02,0.18
HILINFRA,EQ,43.38,-0.73,311.12,0.41,0.18
JKIPL,EQ,94.49,-2.08,362.71,0.19,0.18
DEVX,EQ,33.8,0.15,319.86,0.53,0.18
LIQUIDSBI,EQ,1000.01,0,43.9,0.02,0.18
QNIFTY,EQ,259,-1.05,62.2,0.07,0.17
QMSMEDI,BE,151,-2.69,292,0.11,0.17
RNPL,SM,68.5,-4.99,82.78,0.25,0.17
QUAL30IETF,EQ,20.79,-0.53,137.95,0.83,0.17
ACCPL,ST,202,-3.81,224.54,0.08,0.17
INDOKEM,EQ,620.05,-1.17,1729.21,0.03,0.17
DONEAR,EQ,85.2,-1.83,443.04,0.2,0.17
MOS,ST,6.6,-4.35,169.91,2.6,0.17
DUCON,EQ,1.82,1.11,59.14,9.48,0.17
TARMAT,EQ,59.9,-3.78,150.13,0.28,0.17
BLBLIMITED,EQ,16.45,-2.55,86.96,1.03,0.17
LOTUSCHO,EQ,585,-0.86,751.2,0.03,0.17
HINDCOMPOS,EQ,384.8,-2.67,568.31,0.04,0.17
DTIL,BE,143.99,1.34,151.3,0.12,0.17
HCL-INSYS,EQ,10.1,-0.2,332.5,1.67,0.17
GROWWSC250,EQ,10.65,0.09,17.56,1.58,0.17
UHTL,ST,168,1.97,319.27,0.1,0.17
EEPL,ST,140.5,-0.35,182.08,0.12,0.17
HEXATRADEX,EQ,156.15,-0.76,862.65,0.11,0.17
ZODIAC,EQ,233.1,-0.93,353.21,0.07,0.17
830NHAI27,N2,1086.99,0.08,3568.61,0.02,0.17
COASTCORP,EQ,41,0.76,274.61,0.4,0.16
BIMETAL,EQ,650,6.12,248.63,0.03,0.16
LANDSMILL,EQ,0.56,-3.45,79,28.34,0.16
BPL,EQ,48.01,-1.32,235.13,0.33,0.16
ALUFLUOR,EQ,502.95,-0.16,393.33,0.03,0.16
82HUDCO27,N2,1057.95,0.47,2664.16,0.02,0.16
