"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NLCINDIA","NLC India Limited","EQ"," Interim Dividend - Re 1 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"METALFORGE","Metalyst Forgings Limited","EQ"," Annual General Meeting","10","17-Feb-2021","-","20-Feb-2021","26-Feb-2021"
"METROPOLIS","Metropolis Healthcare Limited","EQ"," Interim Dividend - Rs 8 Per Share","2","17-Feb-2021","19-Feb-2021","-","-"
"MINDSPACE","Mindspace Business Parks REIT","RR"," Distribution - Rs 4.78 Per Unit","275","17-Feb-2021","18-Feb-2021","-","-"
"MOIL","MOIL Limited","EQ"," Interim Dividend - Rs 2.50 Per Share","10","17-Feb-2021","20-Feb-2021","-","-"
"HGS","Hinduja Global Solutions Limited","EQ"," Interim Dividend - Rs 6 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"IRFC","Indian Railway Finance Corporation Limited","EQ"," Interim Dividend - Rs 1.05 Per Share","10","17-Feb-2021","20-Feb-2021","-","-"
"CARERATING","CARE Ratings Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ"," Interim Dividend - Rs 1.75 Per Share","5","17-Feb-2021","20-Feb-2021","-","-"
"IMFA","Indian Metals & Ferro Alloys Limited","EQ"," Interim Dividend - Rs 3 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"PAGEIND","Page Industries Limited","EQ"," Interim Dividend - Rs 150 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"PATINTLOG","Patel Integrated Logistics Limited","EQ"," Rights 27:47","10","17-Feb-2021","18-Feb-2021","-","-"
"PDSL","PDS Limited","EQ"," Extra Ordinary General Meeting","2","17-Feb-2021","-","19-Feb-2021","25-Feb-2021"
"AKZOINDIA","Akzo Nobel India Limited","EQ"," Interim Dividend - Rs 20 Per Share","10","17-Feb-2021","19-Feb-2021","-","-"
"VISHAL","Vishal Fabrics Limited","EQ"," Interim Dividend - 0.50 Per Share","5","18-Feb-2021","22-Feb-2021","-","-"
"MARINE","Marine Electricals (India) Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10 Per Share To Rs 2 Per Share","2","18-Feb-2021","22-Feb-2021","-","-"
"MANINFRA","Man Infraconstruction Limited","EQ"," Interim Dividend - Rs 0.90 Per Share","2","18-Feb-2021","22-Feb-2021","-","-"
"MGL","Mahanagar Gas Limited","EQ"," Interim Dividend - Rs 9 Per Share","10","18-Feb-2021","22-Feb-2021","-","-"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","EQ"," Interim Dividend - Rs. 8.50 Per Share","1","18-Feb-2021","22-Feb-2021","-","-"
"SEAMECLTD","Seamec Limited","EQ"," Interim Dividend - Re 1  Per Share","10","18-Feb-2021","22-Feb-2021","-","-"
"HEUBACHIND","Heubach Colorants India Limited","EQ"," Interim Dividend - Rs 50 Per Share","10","18-Feb-2021","22-Feb-2021","-","-"
"EMBASSY","Embassy Office Parks REIT","RR"," Interest - Rs 2.03/Return On Capital - Rs 2.50/Dividend - Rs 0.02 Per Unit/","300","18-Feb-2021","22-Feb-2021","-","-"
"CENTUM","Centum Electronics Limited","EQ"," Interim Dividend - Rs 2 Per Share","10","18-Feb-2021","22-Feb-2021","-","-"
"SUPRAJIT","Suprajit Engineering Limited","EQ"," Buy Back","1","18-Feb-2021","22-Feb-2021","-","-"
"SUPRAJIT","Suprajit Engineering Limited","EQ"," Interim Dividend - Rs 0.75 Per Share","1","18-Feb-2021","22-Feb-2021","-","-"
"ITC","ITC Limited","EQ"," Interim Dividend - Rs 5 Per Share","1","22-Feb-2021","23-Feb-2021","-","-"
"MAZDOCK","Mazagon Dock Shipbuilders Limited","EQ"," Interim Dividend - Rs 5.41 Per Share","10","22-Feb-2021","23-Feb-2021","-","-"
"SELAN","Selan Exploration Technology Limited","EQ"," Interim Dividend - Rs 5 Per Share","10","22-Feb-2021","23-Feb-2021","-","-"
"NATCOPHARM","Natco Pharma Limited","EQ"," Interim Dividend - Re 1  Per Share","2","22-Feb-2021","23-Feb-2021","-","-"
"TIINDIA","Tube Investments of India Limited","EQ"," Interim Dividend - Rs 2 Per Share","1","22-Feb-2021","23-Feb-2021","-","-"
"OSEINTRUST","Oriental InfraTrust","IV"," Distribution - Rs 1.59 Per Unit","100","22-Feb-2021","23-Feb-2021","-","-"
