SYMBOL,SYMBOL P/E,ADJUSTED P/E
LGBBROSLTD,13.09,13.90
PERSISTENT,64.12,64.12
ISFT,13.12,13.12
KIRLOSBROS,35.77,35.37
TARAPUR,3.59,4.52
KSL,13.35,13.35
SJVN,37.59,41.05
KIRLOSIND,11.06,10.49
MANAPPURAM,16.25,16.25
UMESLTD,105.62,105.62
TI,31.50,30.18
HMVL,14.42,14.42
IMFA,8.46,8.46
BLISSGVS,13.84,13.84
AHLEAST,9.08,9.08
IITL,11.44,11.86
BAJAJCON,18.27,18.33
PRAKASHSTL,3.25,88.59
GPPL,19.77,18.14
ADFFOODS,32.68,32.68
WELINV,81.17,81.17
KILITCH,37.47,37.47
ORISSAMINE,673.22,673.22
DEEPAKNTR,35.49,38.62
SASTASUNDR,,9.70
CPCAP,6.71,6.71
GREENPOWER,41.24,45.27
RAMKY,12.41,12.41
CANTABIL,27.83,28.30
WABAG,31.64,31.23
ASHOKA,3.50,3.68
BEDMUTHA,17.53,17.53
JWL,40.60,40.60
OBEROIRLTY,26.00,26.00
PRESTIGE,72.42,72.42
SHAH,5.86,24.56
CGCL,28.91,28.91
RESPONIND,25.88,25.88
COALINDIA,6.99,6.99
IOLCP,20.05,20.05
GRAVITA,44.45,44.45
JINDWORLD,75.10,75.10
PENIND,22.98,22.98
RPPINFRA,11.31,11.31
JAMNAAUTO,18.69,18.69
MOIL,18.15,18.15
ZEELEARN,1.26,5.72
A2ZINFRA,21.59,
KIRLOSENG,21.08,22.14
RKDL,44.30,44.30
PSB,20.78,20.78
FMNL,0.98,7.58
SURANASOL,3144.82,3144.82
SHEKHAWATI,12.14,12.14
KICL,27.22,36.10
SUMMITSEC,31.45,27.54
STEL,47.15,47.15
HINDMOTORS,16.65,16.65
TEXRAIL,27.64,27.64
HFCL,32.74,32.74
DHUNINV,9.48,9.51
PFS,10.11,10.11
MUTHOOTFIN,17.48,17.48
VADILALIND,34.46,34.46
SYMPHONY,42.60,33.70
PIIND,32.59,32.59
RELAXO,61.71,61.71
OMINFRAL,49.40,49.40
VSTTILLERS,35.10,34.85
ASHIANA,176.68,133.96
DHANUKA,22.11,22.11
MAITHANALL,3.44,3.44
RUSHIL,15.37,15.37
INVENTURE,13.80,12.70
ELGIRUBCO,27.79,
LTF,16.20,16.20
BODALCHEM,146.28,121.24
ASAHISONG,32.45,32.45
FILATEX,15.48,15.48
BROOKS,200.84,200.84
TDPOWERSYS,41.51,41.51
APLLTD,30.30,30.83
VASWANI,13.81,13.81
PGEL,82.49,82.49
PANAMAPET,11.38,11.38
PAISALO,15.74,15.79
SHAKTIPUMP,24.80,24.80
TRITURBINE,48.82,48.82
INDOTHAI,154.37,154.37
ESSARSHPNG,1.07,69.88
DSSL,20.41,20.41
JISLDVREQS,1.62,1.62
POLYMED,73.69,73.69
RUPA,20.50,19.80
VIKASECO,27.63,27.63
APLAPOLLO,63.24,63.24
KANANIIND,41.02,41.02
MINDACORP,43.54,43.54
THOMASCOTT,36.78,36.78
DBSTOCKBRO,16.62,16.62
IRFC,25.08,25.08
COMPUSOFT,195.43,195.43
RHIM,,34.57
SCHNEIDER,68.47,73.02
NDL,10.88,10.88
NBCC,53.23,47.09
TBZ,18.83,18.83
VSSL,21.58,21.58
SWANENERGY,14.39,14.39
SPECIALITY,27.71,27.71
CINELINE,,33.83
SAMPANN,30.19,
RTNINDIA,17.75,17.75
THEJO,40.76,40.76
KITEX,39.80,39.80
MAYURUNIQ,17.11,17.11
ROSSELLIND,12.86,12.78
DUCON,14.99,14.99
TVSHLTD,7.71,7.71
ZUARI,5.71,5.71
VETO,11.98,11.98
CARERATING,32.48,32.48
PCJEWELLER,21.78,21.78
INDUSTOWER,10.49,10.49
VMART,154.26,452.88
REPCOHOME,5.93,5.93
JUSTDIAL,13.66,13.66
ATULAUTO,73.92,73.92
ORIENTCEM,79.86,79.86
ESSENTIA,25.18,25.18
PILITA,70.87,70.87
MITCON,11.53,11.53
ORBTEXP,11.72,11.72
JPOLYINVST,29.35,29.35
SREEL,24.74,24.74
NATHBIOGEN,8.32,8.41
CASTROLIND,21.88,21.88
SDBL,26.03,26.03
IREDA,26.44,26.44
BUTTERFLY,56.70,56.70
WONDERLA,38.34,38.34
AGARIND,12.21,12.21
HATSUN,72.29,72.29
CAPLIPOINT,29.45,29.45
GOCLCORP,10.27,9.44
GULFOILLUB,17.17,17.17
SNOWMAN,219.31,219.31
SHARDACROP,20.90,20.90
